Nom de la playlist,Popularité,Nom du morceau,Artiste
Top 50 Maroc,11,Désert,"La Fouine, ElGrandeToto"
Top 50 Maroc,12,Who,Jimin
Top 50 Maroc,13,Lalla w Mali,Figoshin
Top 50 Maroc,14,Brrr,"Kore, Alonzo, ElGrandeToto"
Top 50 Maroc,15,L’Bayda Mon Amour,Pause
Top 50 Maroc,16,Mahboul Ana,Lazaro
Top 50 Maroc,17,HACHICH/TOSEINA,ElGrandeToto
Top 50 Maroc,18,Dawini,"Tawsen, Ayoub Anbaoui"
Top 50 Maroc,19,3DABI,Draganov
Top 50 Maroc,20,BLUE LOVE,ElGrandeToto
Top 50 Maroc,21,LOTSOFLOVE,Najm
Top 50 Maroc,22,COLTELLINO (feat. Baby Gang),"ElGrandeToto, Baby Gang"
Top 50 Maroc,23,112,Pause
Top 50 Maroc,24,Obligación,"Delarue, Morad, ElGrandeToto"
Top 50 Maroc,25,Ghali,"Duke, Kawtar"
Top 50 Maroc,26,NDAM!,Najm
Top 50 Maroc,27,Die With A Smile,"Lady Gaga, Bruno Mars"
Top 50 Maroc,28,Mizane,"Stormy, Inkonnu"
Top 50 Maroc,29,Moon,Bo9al
Top 50 Maroc,30,A LA BASE,ElGrandeToto
Top 50 Maroc,31,Galbi,Ali S
Top 50 Maroc,32,FERNANDEL (with Oli),"ElGrandeToto, Oli"
Top 50 Maroc,33,Stuntman,"Damost, Shobee"
Top 50 Maroc,34,APT.,"ROSÉ, Bruno Mars"
Top 50 Maroc,35,TABOUT,KALIL
Top 50 Maroc,36,DINERO,ElGrandeToto
Top 50 Maroc,37,POPO,Stormy
Top 50 Maroc,38,3oud Ned,Figoshin
Top 50 Maroc,39,شوفو لامور مادار فيا,Bilel Tacchini
Top 50 Maroc,40,BLING BLING (feat. HD La Relève & JRK 19),"ElGrandeToto, HD La Relève, JRK 19"
Top 50 Maroc,41,Si tu savais,"Anys, Stormy"
Top 50 Maroc,42,San Siro,LFERDA
Top 50 Maroc,43,MARADONA,Stormy
Top 50 Maroc,44,Qui sait ? (feat. ElGrandeToto),"Niro, ElGrandeToto"
Top 50 Maroc,45,L.F.O.L.F (feat. Leto),"ElGrandeToto, Leto"
Top 50 Maroc,46,Badadi,Douaa Lahyaoui
Top 50 Maroc,47,Dawk Lya,Snor
Top 50 Maroc,48,SEMMI,ElGrandeToto
Top 50 Maroc,49,5E ARRONDISSEMENT,ElGrandeToto
Top 50 Maroc,50,Lmanetta Khassra,Figoshin
Ma playlist,1,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage"
Ma playlist,2,Life Goes On,"Lil Baby, Gunna, Lil Uzi Vert"
Ma playlist,3,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin"
Ma playlist,4,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna"
Ma playlist,5,Set Fire to the Rain,Adele
Ma playlist,6,Sundress,A$AP Rocky
Ma playlist,7,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti"
Ma playlist,8,one of wun,Gunna
Ma playlist,9,Firework,Katy Perry
Ma playlist,10,Wide Awake,Katy Perry
Ma playlist,11,PART OF ME - HARDSTYLE,SICK LEGEND
Ma playlist,12,Somebody,Jung Kook
Ma playlist,13,Somewhere Only We Know,Keane
Ma playlist,14,BIRDS OF A FEATHER,Billie Eilish
Ma playlist,15,Heat Waves,Glass Animals
