Nom de la playlist,Popularité,Nom du morceau,Artiste,Genres musicaux
Top 50 USA,26,Smile,Morgan Wallen,contemporary country
Top 50 USA,27,KETU TeCRÉ,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 USA,28,KLOuFRENS,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 USA,29,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen","dfw rap, melodic rap, pop, rap"
Top 50 USA,30,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar","pop, r&b, rap"
Top 50 USA,31,No Pole,Don Toliver,rap
Top 50 USA,32,BOKeTE,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 USA,33,WILDFLOWER,Billie Eilish,"art pop, pop"
Top 50 USA,34,Lose Control,Teddy Swims,
Top 50 USA,35,PIToRRO DE COCO,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 USA,36,Taste,Sabrina Carpenter,pop
Top 50 USA,37,TURiSTA,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 USA,38,Espresso,Sabrina Carpenter,pop
Top 50 USA,39,Qué Pasaría...,"Rauw Alejandro, Bad Bunny","puerto rican pop, reggaeton, trap latino, urbano latino"
Top 50 USA,40,No One Noticed,The Marías,"bedroom pop, la indie"
Top 50 USA,41,A Bar Song (Tipsy),Shaboozey,"modern country pop, pop rap"
Top 50 USA,42,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis","hip hop, rap"
Top 50 USA,43,CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta","reggaeton, trap latino, urbano latino"
Top 50 USA,44,Love Somebody,Morgan Wallen,contemporary country
Top 50 USA,45,LA MuDANZA,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 USA,46,Loco,Neton Vega,corrido
Top 50 USA,47,DENIAL IS A RIVER,Doechii,alternative r&b
Top 50 USA,48,"I Love You, I'm Sorry",Gracie Abrams,alt z
Top 50 USA,49,Sweater Weather,The Neighbourhood,"modern alternative rock, modern rock, pop"
Top 50 USA,50,LO QUE LE PASÓ A HAWAii,Bad Bunny,"reggaeton, trap latino, urbano latino"
Top 50 Maroc,1,BOUHALI,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,2,PIRATE,Stormy,rap maroc
Top 50 Maroc,3,STALINE,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,4,DIPLOMATICO,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,5,KA3I,Stormy,rap maroc
Top 50 Maroc,6,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin","j-division, korean ost"
Top 50 Maroc,7,SAKA,Stormy,rap maroc
Top 50 Maroc,8,FOREVER,Stormy,rap maroc
Top 50 Maroc,9,ALBATROS,Stormy,rap maroc
Top 50 Maroc,10,TWINS,Stormy,rap maroc
Top 50 Maroc,11,Désert,"La Fouine, ElGrandeToto","arabic hip hop, french hip hop, pop urbaine"
Top 50 Maroc,12,Who,Jimin,k-pop
Top 50 Maroc,13,Lalla w Mali,Figoshin,rap maroc
Top 50 Maroc,14,Brrr,"Kore, Alonzo, ElGrandeToto","french hip hop, pop urbaine, rap francais"
Top 50 Maroc,15,L’Bayda Mon Amour,Pause,
Top 50 Maroc,16,Mahboul Ana,Lazaro,
Top 50 Maroc,17,HACHICH/TOSEINA,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,18,Dawini,"Tawsen, Ayoub Anbaoui","moroccan pop, rap belge"
Top 50 Maroc,19,3DABI,Draganov,rap maroc
Top 50 Maroc,20,BLUE LOVE,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,21,LOTSOFLOVE,Najm,
Top 50 Maroc,22,COLTELLINO (feat. Baby Gang),"ElGrandeToto, Baby Gang","arabic hip hop, rap maroc"
Top 50 Maroc,23,112,Pause,
Top 50 Maroc,24,Obligación,"Delarue, Morad, ElGrandeToto",drill espanol
Top 50 Maroc,25,Ghali,"Duke, Kawtar","moroccan pop, trap maroc"
Top 50 Maroc,26,NDAM!,Najm,
Top 50 Maroc,27,Die With A Smile,"Lady Gaga, Bruno Mars","art pop, dance pop, pop"
Top 50 Maroc,28,Mizane,"Stormy, Inkonnu",rap maroc
Top 50 Maroc,29,Moon,Bo9al,rap maroc
Top 50 Maroc,30,A LA BASE,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,31,Galbi,Ali S,
Top 50 Maroc,32,FERNANDEL (with Oli),"ElGrandeToto, Oli","arabic hip hop, rap maroc"
Top 50 Maroc,33,Stuntman,"Damost, Shobee",
Top 50 Maroc,34,APT.,"ROSÉ, Bruno Mars",k-pop
Top 50 Maroc,35,TABOUT,KALIL,
Top 50 Maroc,36,DINERO,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,37,POPO,Stormy,rap maroc
Top 50 Maroc,38,3oud Ned,Figoshin,rap maroc
Top 50 Maroc,39,شوفو لامور مادار فيا,Bilel Tacchini,rai
Top 50 Maroc,40,BLING BLING (feat. HD La Relève & JRK 19),"ElGrandeToto, HD La Relève, JRK 19","arabic hip hop, rap maroc"
Top 50 Maroc,41,Si tu savais,"Anys, Stormy","rap maroc, trap maroc"
Top 50 Maroc,42,San Siro,LFERDA,"arabic hip hop, north moroccan rap, rap maroc"
Top 50 Maroc,43,MARADONA,Stormy,rap maroc
Top 50 Maroc,44,Qui sait ? (feat. ElGrandeToto),"Niro, ElGrandeToto","french hip hop, pop urbaine, rap francais"
Top 50 Maroc,45,L.F.O.L.F (feat. Leto),"ElGrandeToto, Leto","arabic hip hop, rap maroc"
Top 50 Maroc,46,Badadi,Douaa Lahyaoui,moroccan pop
Top 50 Maroc,47,Dawk Lya,Snor,rap maroc
Top 50 Maroc,48,SEMMI,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,49,5E ARRONDISSEMENT,ElGrandeToto,"arabic hip hop, rap maroc"
Top 50 Maroc,50,Lmanetta Khassra,Figoshin,rap maroc
Ma playlist,1,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",rap
Ma playlist,2,Life Goes On,"Lil Baby, Gunna, Lil Uzi Vert","atl hip hop, atl trap, rap, trap"
Ma playlist,3,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin","atl hip hop, hip hop, pop rap, rap, trap"
Ma playlist,4,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna","atl hip hop, atl trap, rap, trap"
Ma playlist,5,Set Fire to the Rain,Adele,"british soul, pop, pop soul, uk pop"
Ma playlist,6,Sundress,A$AP Rocky,"east coast hip hop, hip hop, rap"
Ma playlist,7,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti","atl hip hop, hip hop, rap, southern hip hop, trap"
Ma playlist,8,one of wun,Gunna,"atl hip hop, melodic rap, rap, trap"
Ma playlist,9,Firework,Katy Perry,pop
Ma playlist,10,Wide Awake,Katy Perry,pop
Ma playlist,11,PART OF ME - HARDSTYLE,SICK LEGEND,gym hardstyle
Ma playlist,12,Somebody,Jung Kook,k-pop
Ma playlist,13,Somewhere Only We Know,Keane,"neo mellow, piano rock, pop rock"
Ma playlist,14,BIRDS OF A FEATHER,Billie Eilish,"art pop, pop"
Ma playlist,15,Heat Waves,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Ma playlist,16,This Is What You Came For,"Calvin Harris, Rihanna","dance pop, edm, electro house, house, pop, progressive house, uk dance"
Ma playlist,17,Who,"Lauv, BTS",pop
